Filename,Rep number,elbow_hiking,shoulder_hiking,torso_twist
formfit-20260318-200602-10ms.csv,5,0,0,0
formfit-20260318-200602-10ms.csv,6,0,0,0
formfit-20260318-200602-10ms.csv,7,0,0,0
formfit-20260318-200602-10ms.csv,8,0,0,0
formfit-20260318-200602-10ms.csv,9,0,0,0
formfit-20260318-200602-10ms.csv,10,0,0,0
formfit-20260318-200812-10ms.csv,11,0,1,0
formfit-20260318-200812-10ms.csv,12,0,1,0
formfit-20260318-200812-10ms.csv,13,0,0,1
formfit-20260318-200812-10ms.csv,14,0,0,1
formfit-20260318-200812-10ms.csv,15,1,0,0
formfit-20260318-200812-10ms.csv,16,1,0,0
formfit-20260318-200812-10ms.csv,17,1,0,1
formfit-20260318-200812-10ms.csv,18,1,0,1
formfit-20260318-200812-10ms.csv,19,1,0,1
formfit-20260318-200812-10ms.csv,20,1,0,1
formfit-20260320-185512-10ms,1,0,0,0
formfit-20260320-185512-10ms,2,0,0,0
formfit-20260320-185512-10ms,3,0,0,0
formfit-20260320-185512-10ms,4,0,0,0
formfit-20260320-185512-10ms,5,0,0,0
formfit-20260320-185512-10ms,6,0,0,0
formfit-20260320-185512-10ms,7,0,0,0
formfit-20260320-185512-10ms,8,0,0,0
formfit-20260320-185512-10ms,9,0,0,0
formfit-20260320-185512-10ms,10,0,0,0
formfit-20260320-185512-10ms,11,1,0,0
formfit-20260320-185959-10ms,12,0,1,0
formfit-20260320-185959-10ms,13,0,1,0
formfit-20260320-185959-10ms,14,0,0,1
formfit-20260320-185959-10ms,15,0,0,1
formfit-20260320-185959-10ms,16,1,0,0
formfit-20260320-185959-10ms,17,1,0,0
formfit-20260320-185959-10ms,18,1,1,1
formfit-20260320-185959-10ms,19,1,1,1
formfit-20260320-185959-10ms,20,1,1,1
formfit-20260320-185959-10ms,21,1,1,1
formfit-20260320-190257-10ms,1,0,0,0
formfit-20260320-190257-10ms,2,0,0,0
formfit-20260320-190257-10ms,3,0,0,0
formfit-20260320-190257-10ms,4,0,0,0
formfit-20260320-190257-10ms,5,0,0,0
formfit-20260320-190257-10ms,6,1,0,0
formfit-20260320-190257-10ms,7,0,0,0
formfit-20260320-190257-10ms,8,1,0,0
formfit-20260320-190257-10ms,9,1,0,0
formfit-20260320-190257-10ms,10,0,0,0
formfit-20260320-190630-10ms,11,1,0,0
formfit-20260320-190630-10ms,12,0,1,0
formfit-20260320-190630-10ms,13,0,0,1
formfit-20260320-190630-10ms,14,0,0,1
formfit-20260320-190630-10ms,15,1,0,0
formfit-20260320-190630-10ms,16,1,0,0
formfit-20260320-190630-10ms,17,1,0,1
formfit-20260320-190630-10ms,18,1,0,1
formfit-20260320-190630-10ms,19,1,1,1
formfit-20260320-190630-10ms,20,1,0,1
formfit-20260328-153200-10ms.csv,1,0,0,0
formfit-20260328-153200-10ms.csv,2,0,0,0
formfit-20260328-153200-10ms.csv,3,0,0,0
formfit-20260328-153200-10ms.csv,4,0,0,0
formfit-20260328-153200-10ms.csv,5,0,0,0
formfit-20260328-153200-10ms.csv,6,0,0,0
formfit-20260328-153200-10ms.csv,7,0,0,0
formfit-20260328-153200-10ms.csv,8,0,0,0
formfit-20260328-153200-10ms.csv,9,0,0,0
formfit-20260328-153200-10ms.csv,10,0,0,0
formfit-20260328-153840-10ms.csv,11,0,0,0
formfit-20260328-153840-10ms.csv,12,0,0,0
formfit-20260328-153840-10ms.csv,13,0,0,0
formfit-20260328-153840-10ms.csv,14,0,0,0
formfit-20260328-153840-10ms.csv,15,0,0,0
formfit-20260328-153840-10ms.csv,16,0,0,0
formfit-20260328-153840-10ms.csv,17,0,0,0
formfit-20260328-153840-10ms.csv,18,0,0,0
formfit-20260328-153840-10ms.csv,19,0,0,0
formfit-20260328-153840-10ms.csv,20,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
